Timestamp,rpm,pressure_mb,temp_c,humidity_pct
2026-02-15 11:26:48,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:26:49,10.0,1005.8,23.8,48.0,40.0
2026-02-15 11:26:50,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:26:51,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:26:52,10.0,1005.8,23.8,48.0,40.0
2026-02-15 11:26:53,10.0,1005.8,23.8,48.0,40.0
2026-02-15 11:26:54,10.0,1005.8,23.8,48.0,40.0
2026-02-15 11:26:55,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:26:56,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:26:57,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:26:58,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:26:59,10.0,1005.8,23.8,48.0,40.0
2026-02-15 11:27:00,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:27:01,10.0,1005.8,23.8,48.0,40.0
2026-02-15 11:27:02,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:27:03,10.0,1005.8,23.8,48.0,40.0
2026-02-15 11:27:04,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:27:05,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:27:06,10.0,1005.8,23.8,48.0,40.0
2026-02-15 11:27:07,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:27:08,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:27:09,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:27:10,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:27:11,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:12,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:13,10.0,1005.8,23.7,48.0,40.0
2026-02-15 11:27:14,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:15,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:16,10.0,1006.3,23.7,48.0,40.0
2026-02-15 11:27:17,10.0,1006.3,23.7,48.0,40.0
2026-02-15 11:27:18,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:19,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:20,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:21,10.0,1005.8,23.7,48.0,40.0
2026-02-15 11:27:22,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:23,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:24,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:25,10.0,1006.3,23.7,48.0,40.0
2026-02-15 11:27:26,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:27,10.0,1006.3,23.7,48.0,40.0
2026-02-15 11:27:28,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:29,10.0,1005.8,23.7,48.0,40.0
2026-02-15 11:27:30,10.0,1006.3,23.7,48.0,40.0
2026-02-15 11:27:31,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:32,10.0,1005.8,23.7,48.0,40.0
2026-02-15 11:27:33,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:34,10.0,1006.3,23.7,48.0,40.0
2026-02-15 11:27:35,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:36,10.0,1005.8,23.7,48.0,40.0
2026-02-15 11:27:37,10.0,1005.8,23.7,48.1,40.0
2026-02-15 11:27:38,10.0,1006.0,23.7,48.1,40.0
2026-02-15 11:27:39,10.0,1005.8,23.7,48.1,40.0
2026-02-15 11:27:40,10.0,1005.8,23.7,48.1,40.0
2026-02-15 11:27:41,10.0,1006.3,23.7,48.1,40.0
2026-02-15 11:27:42,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:43,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:44,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:45,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:46,10.0,1006.3,23.7,48.0,40.0
2026-02-15 11:27:47,10.0,1006.0,23.7,48.0,40.0
2026-02-15 11:27:48,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:27:49,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:27:50,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:27:51,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:27:52,10.0,1006.0,23.6,48.1,40.0
