Timestamp,peak_wavelength,max_intensity,mean_intensity,std_intensity,total_points,status
2026-01-07 16:50:05,627.2004,2165.00,1580.19,25.89,2048,success
2026-01-07 16:50:06,627.2004,2189.00,1580.40,26.44,2048,success
2026-01-07 16:50:06,627.2004,2191.00,1580.12,26.41,2048,success
2026-01-07 16:50:07,627.2004,2189.00,1580.64,26.26,2048,success
2026-01-07 16:50:08,627.2004,2185.00,1580.44,26.16,2048,success
2026-01-07 16:50:08,627.2004,2199.00,1580.83,26.38,2048,success
2026-01-07 16:50:09,627.2004,2202.00,1580.21,26.64,2048,success
2026-01-07 16:50:09,627.2004,2193.00,1579.89,26.74,2048,success
2026-01-07 16:50:10,627.2004,2171.00,1580.06,26.66,2048,success
2026-01-07 16:50:11,627.2004,2199.00,1579.93,26.49,2048,success
2026-01-07 16:50:11,627.2004,2168.00,1579.64,26.26,2048,success
2026-01-07 16:50:12,627.2004,2175.00,1580.21,26.55,2048,success
2026-01-07 16:50:12,627.2004,2184.00,1579.60,26.14,2048,success
2026-01-07 16:50:13,627.2004,2169.00,1579.99,26.33,2048,success
2026-01-07 16:50:14,627.2004,2198.00,1579.75,26.64,2048,success
2026-01-07 16:50:14,627.2004,2173.00,1579.50,26.44,2048,success
2026-01-07 16:50:15,627.2004,2194.00,1580.14,26.15,2048,success
2026-01-07 16:50:16,627.2004,2183.00,1580.34,26.24,2048,success
2026-01-07 16:50:16,627.2004,2161.00,1580.44,26.02,2048,success
2026-01-07 16:50:17,627.2004,2185.00,1579.86,26.23,2048,success
2026-01-07 16:50:17,627.2004,2226.00,1580.22,26.81,2048,success
2026-01-07 16:50:18,627.2004,2185.00,1580.16,26.19,2048,success
2026-01-07 16:50:19,627.2004,2160.00,1580.22,26.01,2048,success
2026-01-07 16:50:19,627.2004,2204.00,1580.18,26.63,2048,success
2026-01-07 16:50:20,627.2004,2183.00,1580.40,26.14,2048,success
2026-01-07 16:50:21,627.2004,2172.00,1579.75,25.82,2048,success
2026-01-07 16:50:21,627.2004,2187.00,1580.60,26.28,2048,success
2026-01-07 16:50:22,627.2004,2196.00,1580.28,26.40,2048,success
2026-01-07 16:50:22,627.2004,2170.00,1580.13,26.10,2048,success
