merge_timestamp,imet_Timestamp,imet_pressure,imet_temp,imet_rel_hum,imet_hum_temp,imet_date,imet_time,imet_longitude,imet_latitude,imet_altitude,imet_sat,pom_Timestamp,pom_Ozone_ppb,pom_Cell_Temperature_K,pom_Cell_Pressure_torr,pom_Photodiode_Voltage_V,pom_Power_Supply_V,pom_Latitude,pom_Longitude,pom_Altitude_m,pom_GPS_Quality,pom_Date,pom_Time,trisonica_Timestamp,trisonica_Wind_Speed,trisonica_Wind_Direction,trisonica_U_Vector,trisonica_V_Vector,trisonica_W_Vector,trisonica_Temperature,trisonica_Relative_Humidity,trisonica_Pressure,trisonica_Compass_Heading,trisonica_Pitch,trisonica_Roll,spectro_Timestamp,spectro_peak_wavelength,spectro_max_intensity,spectro_mean_intensity,spectro_std_intensity,spectro_total_points,spectro_status,partector2pro_Timestamp,partector2pro_time_since_start_s,partector2pro_number_cm3,partector2pro_diameter_nm,partector2pro_ldsa_um2_cm3,partector2pro_total_surface_um2_cm3,partector2pro_mass_ug_m3,partector2pro_gsd,partector2pro_charger_current_nA,partector2pro_charger_hv_V,partector2pro_precipitator_voltage_V,partector2pro_temperature_C,partector2pro_rh_percent,partector2pro_pressure_mbar,partector2pro_flow_lpm,partector2pro_battery_V,partector2pro_pump_current_mA,partector2pro_status,partector2pro_internal_value,partector2pro_solution_steps,partector2pro_bin1_dN_dlogD,partector2pro_bin2_dN_dlogD,partector2pro_bin3_dN_dlogD,partector2pro_bin4_dN_dlogD,partector2pro_bin5_dN_dlogD,partector2pro_bin6_dN_dlogD,partector2pro_bin7_dN_dlogD,partector2pro_bin8_dN_dlogD,partector2pro_em_amp1_mV,partector2pro_em_amp2_mV,partector2pro_em_amp3_mV,partector2pro_em_amp4_mV,partector2pro_em_amp5_mV
2026-03-16 09:14:19,2026-03-16 09:14:18,1005.3,+2358,3.41,+2474,2026/04/15,08:18:52,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:19,00.06,035,-00.02,-00.02,00.05,24.00,35.91,1004.40,179.6,-179.6,221,2026-03-16 09:14:19,627.2004,2232.00,1586.45,28.42,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:20,2026-03-16 09:14:20,1005.24,+2365,3.41,+2475,2026/04/15,08:18:53,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:20,00.03,291,00.03,-00.01,00.01,24.07,35.95,1004.42,179.6,-179.6,203,2026-03-16 09:14:20,627.2004,2208.00,1586.47,28.16,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:21,2026-03-16 09:14:21,1005.26,+2358,3.41,+2476,2026/04/15,08:18:54,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:21,00.05,316,00.03,-00.03,00.02,23.80,35.93,1004.39,179.6,-179.6,211,2026-03-16 09:14:21,627.2004,2206.00,1586.25,27.90,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:22,2026-03-16 09:14:22,1005.3,+2361,3.41,+2476,2026/04/15,08:18:55,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:22,00.05,351,00.01,-00.05,00.01,24.18,35.89,1004.41,179.6,-179.6,197,2026-03-16 09:14:22,627.2004,2207.00,1586.23,28.74,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:23,2026-03-16 09:14:23,1005.27,+2361,3.41,+2476,2026/04/15,08:18:56,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:23,00.05,083,-00.03,-00.00,00.04,24.23,35.92,1004.42,179.6,-179.6,208,2026-03-16 09:14:22,627.2004,2201.00,1586.26,28.11,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:24,2026-03-16 09:14:24,1005.3,+2361,3.41,+2476,2026/04/15,08:18:57,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:24,00.07,245,00.04,00.02,00.05,23.97,35.93,1004.41,179.6,-179.6,213,2026-03-16 09:14:24,627.2004,2222.00,1586.02,28.16,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:25,2026-03-16 09:14:25,1005.23,+2362,3.41,+2476,2026/04/15,08:18:58,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:25,00.07,243,00.04,00.02,00.06,24.12,35.94,1004.40,179.6,-179.6,212,2026-03-16 09:14:25,627.2004,2207.00,1586.43,28.04,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:26,2026-03-16 09:14:26,1005.25,+2362,3.41,+2476,2026/04/15,08:18:59,+0000000000,+0000000000,-00017000,00,2026-03-16 09:14:26,0.8,310.6,740.3,1.6638,12.2,0000.00000,00000.00000,0.0,0,15/04/26,10:36:27,2026-03-16 09:14:26,00.06,138,-00.03,00.03,00.04,24.81,35.93,1004.41,179.6,-179.7,198,2026-03-16 09:14:25,627.2004,2223.00,1585.72,28.19,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:27,2026-03-16 09:14:27,1005.3,+2361,3.41,+2478,2026/04/15,08:19:00,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:27,00.07,073,-00.03,-00.01,00.06,24.42,35.92,1004.39,179.6,-179.6,198,2026-03-16 09:14:27,627.2004,2216.00,1585.99,28.51,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:28,2026-03-16 09:14:28,1005.26,+2358,3.41,+2476,2026/04/15,08:19:01,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:28,00.08,324,00.04,-00.05,00.05,23.78,35.89,1004.41,179.6,-179.6,200,2026-03-16 09:14:28,627.2004,2203.00,1585.28,28.09,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:29,2026-03-16 09:14:29,1005.35,+2358,3.41,+2478,2026/04/15,08:19:02,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:29,00.07,306,00.05,-00.04,00.03,23.79,35.91,1004.39,179.6,-179.6,214,2026-03-16 09:14:29,627.2004,2211.00,1585.30,28.18,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:30,2026-03-16 09:14:30,1005.31,+2359,3.41,+2478,2026/04/15,08:19:03,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:30,00.06,266,00.05,00.00,00.03,24.20,35.92,1004.41,179.6,-179.6,196,2026-03-16 09:14:30,627.2004,2190.00,1585.26,28.06,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:31,2026-03-16 09:14:31,1005.28,+2357,3.4,+2479,2026/04/15,08:19:04,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:31,00.05,317,00.03,-00.03,00.02,24.17,35.96,1004.41,179.6,-179.6,188,2026-03-16 09:14:31,627.2004,2178.00,1584.60,27.63,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:32,2026-03-16 09:14:32,1005.28,+2358,3.4,+2478,2026/04/15,08:19:05,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:32,00.07,286,00.06,-00.02,00.03,24.01,35.96,1004.40,179.6,-179.6,201,2026-03-16 09:14:32,627.2004,2210.00,1585.58,28.04,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:33,2026-03-16 09:14:33,1005.34,+2356,3.4,+2478,2026/04/15,08:19:06,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:33,00.03,306,00.02,-00.01,00.02,24.29,35.92,1004.43,179.6,-179.6,180,2026-03-16 09:14:33,627.2004,2212.00,1585.25,28.13,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:34,2026-03-16 09:14:34,1005.29,+2361,3.4,+2478,2026/04/15,08:19:07,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:34,00.06,321,00.04,-00.04,00.03,24.11,35.92,1004.42,179.6,-179.6,200,2026-03-16 09:14:33,627.2004,2203.00,1584.97,28.19,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:35,2026-03-16 09:14:35,1005.26,+2362,3.4,+2478,2026/04/15,08:19:08,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:35,00.06,331,00.02,-00.04,00.04,24.05,35.93,1004.44,179.6,-179.6,205,2026-03-16 09:14:35,627.2004,2232.00,1584.64,27.62,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:36,2026-03-16 09:14:36,1005.31,+2361,3.4,+2478,2026/04/15,08:19:09,+0000000000,+0000000000,-00017000,00,2026-03-16 09:14:36,0.8,310.6,739.7,1.6636,12.2,0000.00000,00000.00000,0.0,0,15/04/26,10:36:37,2026-03-16 09:14:36,00.06,325,00.03,-00.04,00.03,24.06,35.93,1004.42,179.6,-179.6,211,2026-03-16 09:14:36,627.2004,2212.00,1584.99,27.30,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:37,2026-03-16 09:14:37,1005.34,+2358,3.4,+2478,2026/04/15,08:19:10,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:37,00.05,254,00.03,00.01,00.04,24.27,35.96,1004.40,179.6,-179.6,190,2026-03-16 09:14:37,627.2004,2200.00,1584.50,26.89,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 09:14:38,2026-03-16 09:14:38,1005.27,+2358,3.4,+2478,2026/04/15,08:19:11,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-03-16 09:14:38,00.04,066,-00.02,-00.01,00.03,24.20,35.95,1004.41,179.6,-179.6,216,2026-03-16 09:14:38,627.2004,2201.00,1584.57,26.81,2048,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
