merge_timestamp,imet_Timestamp,imet_pressure,imet_temp,imet_rel_hum,imet_hum_temp,imet_date,imet_time,imet_longitude,imet_latitude,imet_altitude,imet_sat,pom_Timestamp,pom_Ozone_ppb,pom_Cell_Temperature_K,pom_Cell_Pressure_torr,pom_Photodiode_Voltage_V,pom_Power_Supply_V,pom_Latitude,pom_Longitude,pom_Altitude_m,pom_GPS_Quality,pom_Date,pom_Time,trisonica_Timestamp,trisonica_Wind_Speed,trisonica_Wind_Direction,trisonica_U_Vector,trisonica_V_Vector,trisonica_W_Vector,trisonica_Temperature,trisonica_Relative_Humidity,trisonica_Pressure,trisonica_Compass_Heading,trisonica_Pitch,trisonica_Roll
2025-12-03 11:35:20,2025-12-03 11:35:19,1010.14,+2292,3.45,+2399,2015/10/18,02:05:50,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:20,00.09,118,-00.08,00.04,00.02,23.72,37.95,1009.64,179.5,179.7,215
2025-12-03 11:35:21,2025-12-03 11:35:20,1010.17,+2288,3.45,+2400,2015/10/18,02:05:51,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:21,00.10,134,-00.07,00.07,00.04,23.63,37.89,1009.65,179.5,179.8,217
2025-12-03 11:35:22,2025-12-03 11:35:21,1010.2,+2291,3.46,+2399,2015/10/18,02:05:52,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:22,00.09,124,-00.07,00.04,00.04,23.48,37.90,1009.64,179.5,179.7,215
2025-12-03 11:35:23,2025-12-03 11:35:22,1010.16,+2291,3.46,+2400,2015/10/18,02:05:53,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:23,00.07,134,-00.05,00.05,00.02,23.49,37.93,1009.64,179.5,179.8,213
2025-12-03 11:35:24,2025-12-03 11:35:23,1010.14,+2289,3.46,+2399,2015/10/18,02:05:54,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:24,00.08,130,-00.06,00.05,00.03,23.49,37.94,1009.65,179.5,179.8,213
2025-12-03 11:35:25,2025-12-03 11:35:24,1010.14,+2291,3.45,+2400,2015/10/18,02:05:55,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:25,00.08,140,-00.05,00.06,00.03,23.43,37.92,1009.64,179.5,179.8,215
2025-12-03 11:35:26,2025-12-03 11:35:25,1010.15,+2296,3.46,+2400,2015/10/18,02:05:56,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:26,00.09,125,-00.06,00.04,00.04,23.46,37.90,1009.63,179.5,179.7,214
2025-12-03 11:35:27,2025-12-03 11:35:26,1010.13,+2290,3.45,+2400,2015/10/18,02:05:57,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:27,00.10,126,-00.08,00.05,00.04,23.56,37.93,1009.64,179.5,179.8,217
2025-12-03 11:35:28,2025-12-03 11:35:27,1010.14,+2290,3.46,+2400,2015/10/18,02:05:58,+0000000000,+0000000000,-00017000,00,2025-12-03 11:35:27,5.6,310.1,743.3,1.4539,12.2,0000.00000,00000.00000,0.0,0,03/12/25,11:36:34,2025-12-03 11:35:28,00.08,110,-00.07,00.03,00.03,23.59,37.92,1009.60,179.5,179.8,215
2025-12-03 11:35:29,2025-12-03 11:35:28,1010.17,+2292,3.46,+2399,2015/10/18,02:05:59,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:29,00.07,115,-00.05,00.03,00.04,23.59,37.94,1009.63,179.5,179.8,213
2025-12-03 11:35:30,2025-12-03 11:35:29,1010.17,+2290,3.46,+2399,2015/10/18,02:06:00,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:30,00.07,124,-00.05,00.04,00.04,23.62,37.90,1009.66,179.5,179.8,212
2025-12-03 11:35:31,2025-12-03 11:35:30,1010.13,+2292,3.46,+2399,2015/10/18,02:06:01,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:31,00.08,117,-00.06,00.03,00.02,23.67,37.95,1009.65,179.5,179.8,212
